"","Date","country","searches"
"434","2003-04-06","United.States",NA
"435","2003-04-06","Uruguay",110
"436","2003-04-13","Argentina",193
"437","2003-04-13","Australia",NA
"438","2003-04-13","Austria",NA
"439","2003-04-13","Belgium",NA
"440","2003-04-13","Bolivia",580
"441","2003-04-13","Brazil",259
"442","2003-04-13","Bulgaria",NA
"443","2003-04-13","Canada",NA
"444","2003-04-13","Chile",1
"445","2003-04-13","France",NA
"446","2003-04-13","Germany",NA
"447","2003-04-13","Hungary",NA
"448","2003-04-13","Japan",NA
"449","2003-04-13","Mexico",NA
"450","2003-04-13","Netherlands",NA
"451","2003-04-13","New.Zealand",NA
"452","2003-04-13","Norway",NA
"453","2003-04-13","Paraguay",NA
"454","2003-04-13","Peru",508
"455","2003-04-13","Poland",NA
"456","2003-04-13","Romania",757
"457","2003-04-13","Russia",NA
"458","2003-04-13","South.Africa",NA
"459","2003-04-13","Spain",NA
"460","2003-04-13","Sweden",NA
"461","2003-04-13","Switzerland",NA
"462","2003-04-13","Ukraine",NA
"463","2003-04-13","United.States",NA
"464","2003-04-13","Uruguay",111
"465","2003-04-20","Argentina",186
"466","2003-04-20","Australia",NA
"467","2003-04-20","Austria",NA
"468","2003-04-20","Belgium",NA
"469","2003-04-20","Bolivia",537
"470","2003-04-20","Brazil",287
"471","2003-04-20","Bulgaria",NA
"472","2003-04-20","Canada",NA
"473","2003-04-20","Chile",1
"474","2003-04-20","France",NA
"475","2003-04-20","Germany",NA
"476","2003-04-20","Hungary",NA
"477","2003-04-20","Japan",NA
"478","2003-04-20","Mexico",NA
"479","2003-04-20","Netherlands",NA
"480","2003-04-20","New.Zealand",NA
"481","2003-04-20","Norway",NA
"482","2003-04-20","Paraguay",NA
"483","2003-04-20","Peru",527
"484","2003-04-20","Poland",NA
"485","2003-04-20","Romania",726
"486","2003-04-20","Russia",NA
"487","2003-04-20","South.Africa",NA
"488","2003-04-20","Spain",NA
"489","2003-04-20","Sweden",NA
"490","2003-04-20","Switzerland",NA
"491","2003-04-20","Ukraine",NA
"492","2003-04-20","United.States",NA
"493","2003-04-20","Uruguay",106
"494","2003-04-27","Argentina",209
"495","2003-04-27","Australia",NA
"496","2003-04-27","Austria",NA
"497","2003-04-27","Belgium",NA
"498","2003-04-27","Bolivia",525
"499","2003-04-27","Brazil",299
"500","2003-04-27","Bulgaria",NA
"501","2003-04-27","Canada",NA
